                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.292,                 1.6276,                 1.5526,                0.72987,                0.71343,                0.72194,                0.33562,                 1.6099,                 1.4488,                 1.9182,               0.003466,               0.003466,               0.003466
                     36,                 1.2617,                 1.6432,                 1.5504,                0.67018,                0.77313,                0.70289,                0.34891,                 1.5516,                 1.4329,                 1.8952,               0.003268,               0.003268,               0.003268
                     37,                 1.2868,                 1.6249,                 1.5584,                0.63864,                0.71642,                 0.6957,                0.35352,                 1.5769,                 1.3814,                  1.886,                0.00307,                0.00307,                0.00307
                     38,                 1.2654,                  1.618,                 1.5259,                0.73161,                 0.7242,                0.73917,                0.36824,                 1.5846,                 1.4096,                 1.9498,               0.002872,               0.002872,               0.002872
                     39,                 1.2608,                 1.6461,                 1.5362,                0.72159,                0.76119,                0.74474,                0.34733,                  1.607,                 1.4355,                  1.909,               0.002674,               0.002674,               0.002674
                     40,                 1.2172,                 1.5781,                 1.5113,                0.69784,                0.75522,                0.71182,                0.32303,                  1.646,                  1.297,                 1.9417,               0.002476,               0.002476,               0.002476
                     41,                 1.3718,                 1.8569,                 1.8013,                0.59986,                0.66866,                0.61748,                0.27698,                 1.7308,                  1.514,                 2.0705,               0.002278,               0.002278,               0.002278
                     42,                    1.3,                 1.6917,                 1.7633,                0.77481,                0.69841,                0.71423,                0.33352,                 1.5202,                 1.5288,                 1.8718,                0.00208,                0.00208,                0.00208
                     43,                 1.3167,                 1.6422,                  1.727,                0.69686,                0.69994,                0.69951,                0.33156,                 1.5486,                 1.4333,                 1.8877,               0.001882,               0.001882,               0.001882
                     44,                 1.2686,                 1.5497,                 1.7318,                0.73216,                0.75888,                0.74174,                0.37396,                 1.4865,                 1.3043,                 1.8316,               0.001684,               0.001684,               0.001684
                     45,                 1.2747,                 1.5743,                 1.7161,                0.71489,                0.74102,                 0.7181,                0.36016,                  1.479,                 1.3818,                 1.8583,               0.001486,               0.001486,               0.001486
                     46,                 1.2197,                 1.7732,                 1.6169,                0.69284,                0.71372,                0.71034,                0.34643,                 1.5443,                 1.4581,                  1.903,               0.001288,               0.001288,               0.001288
                     47,                 1.2178,                 1.5378,                 1.6715,                 0.6997,                0.72537,                0.70829,                 0.3431,                 1.4953,                 1.3731,                 1.8416,                0.00109,                0.00109,                0.00109
                     48,                 1.2156,                 1.5331,                 1.6623,                0.73517,                0.75409,                0.72631,                0.35747,                 1.4577,                 1.3633,                 1.8133,               0.000892,               0.000892,               0.000892
                     49,                 1.2177,                 1.5063,                 1.6688,                0.73724,                0.77313,                  0.732,                0.36707,                 1.4509,                 1.3531,                 1.7986,               0.000694,               0.000694,               0.000694
                     50,                 1.2399,                 1.5255,                 1.6607,                 0.7151,                0.77015,                0.71714,                0.36227,                 1.4703,                 1.3578,                 1.8219,               0.000496,               0.000496,               0.000496
